model,fold_year,seq_len,gpu,status,return_code,des,log_path,metrics_path,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic
PatchTST,2020,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2020_sl60.log,test_results/long_term_forecast_market_2020_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0494365990161895,8.539551734924316,1.1288488629633155,0.0032530440447464,-0.026017639528275
PatchTST,2021,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2021_sl60.log,test_results/long_term_forecast_market_2021_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0133716715499758,-0.6500113010406494,1.1452742847443975,0.0042084132087617,-0.0330118083621744
PatchTST,2022,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2022_sl60.log,test_results/long_term_forecast_market_2022_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0091634029522538,1.0315732955932615,0.9645588961282964,-0.0134137392863159,-0.0488834331181175
PatchTST,2023,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2023_sl60.log,test_results/long_term_forecast_market_2023_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0025733234360814,-0.0221863985061645,0.5586472078831023,-0.0104530665602034,-0.0542844443275996
PatchTST,2024,60.0,2.0,done,0.0,market_round1_fsA,logs/market_rerun_patchtst_base/PatchTST_fold2024_sl60.log,test_results/long_term_forecast_market_2024_60_fsA_PatchTST_market_daily_ftMS_sl60_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,160,0.0144709702581167,-0.1701183319091797,1.2465669980091585,-0.0059222652260823,-0.0518752719771615
TimesNet,2015,,,,,,,test_results/long_term_forecast_market_2015_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0068790717050433,1.2548527717590332,1.3239627739988802,0.0294548747922676,0.0127872286086133
TimesNet,2016,,,,,,,test_results/long_term_forecast_market_2016_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0021299114450812,0.2089656591415405,0.6469823618921535,0.003646842607094,-0.0215242763127802
TimesNet,2017,,,,,,,test_results/long_term_forecast_market_2017_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,-0.0041464022360742,-0.7034891247749329,-1.600083899482176,-0.0092491968328583,-0.0290182461385516
TimesNet,2018,,,,,,,test_results/long_term_forecast_market_2018_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,242,-0.0049019097350537,-0.8522007465362549,-1.0225719991814417,0.0034562055017312,-0.0141185222201152
TimesNet,2019,,,,,,,test_results/long_term_forecast_market_2019_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0036232515703886,-0.9608033895492554,0.3304143906615487,0.0041367962347536,-0.0207026336296386
TimesNet,2020,,,,,,,test_results/long_term_forecast_market_2020_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0129393516108393,1.4084677696228027,1.4228846829061272,0.0086754110437116,-0.0165993673851964
TimesNet,2021,,,,,,,test_results/long_term_forecast_market_2021_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0104630542919039,-0.6363814473152161,1.013292475657482,0.0099261949391828,-0.0222863952131959
TimesNet,2022,,,,,,,test_results/long_term_forecast_market_2022_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0016148966969922,-0.258202314376831,0.3339252179868845,0.0018472296592435,-0.0221434788530907
TimesNet,2023,,,,,,,test_results/long_term_forecast_market_2023_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0023020459339022,-0.2216894030570984,0.4460395128115521,-0.0069494050360567,-0.0450849769198269
TimesNet,2024,,,,,,,test_results/long_term_forecast_market_2024_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,160,0.0350560918450355,-0.9199564456939696,0.9598098288190772,0.0158774769105209,-0.0189407283621575
TimeMixer,2015,,,,,,,test_results/long_term_forecast_market_2015_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0041425800882279,0.0095671415328979,0.7431559194242897,0.021838363805821,-0.0020067482077473
TimeMixer,2016,,,,,,,test_results/long_term_forecast_market_2016_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0012380542466416,-0.0917587876319885,0.3416793155579126,-0.0024379691917344,-0.0295385274106215
TimeMixer,2017,,,,,,,test_results/long_term_forecast_market_2017_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,-0.0067070433869957,-0.8594145774841309,-2.056123442487189,-0.0139625022038061,-0.0345219901415482
TimeMixer,2018,,,,,,,test_results/long_term_forecast_market_2018_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0011818795464932,-0.6573978066444397,0.1689901524745391,-0.003043968440329,-0.0260463175076091
TimeMixer,2019,,,,,,,test_results/long_term_forecast_market_2019_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0253781341016292,-0.7610555291175842,1.001600830775052,0.0035578610758287,-0.0313851199413064
TimeMixer,2020,,,,,,,test_results/long_term_forecast_market_2020_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0451224483549594,2.2159228324890137,1.029671755655842,0.0024058682714513,-0.0274126455493859
TimeMixer,2021,,,,,,,test_results/long_term_forecast_market_2021_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.011421987786889,-0.7341229319572449,1.0050667837761116,0.001514417593517,-0.0387739904730897
TimeMixer,2022,,,,,,,test_results/long_term_forecast_market_2022_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,241,-0.0048711374402046,-0.8497811555862427,-0.9952070504291852,-0.0123095680017029,-0.0509086284461162
TimeMixer,2023,,,,,,,test_results/long_term_forecast_market_2023_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,241,7.418818131554872e-05,-0.4607634544372558,0.0163250071599007,-0.0124177096247505,-0.0585534836978217
TimeMixer,2024,,,,,,,test_results/long_term_forecast_market_2024_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_round1_fsA_0/market_metrics.txt,160,0.045646846294403,-0.4861616492271423,1.2563869445211242,-0.0045694331838651,-0.0531466558870472
