combo,size,method,weight_tag,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic,positive_years
itransformer+timemixer+tsmixer+wpmixer,4,zscore_mean,equal,-1,2340,0.012400675482586542,10.016185486064018,0.8753196624404036,0.002692187706751974,-0.027425561422123927,9.0
itransformer+patchtst+timesnet+tsmixer,4,mean,equal,-1,2340,0.012318311071936322,-0.9449416066859301,0.6687805426437661,0.002569801702919571,-0.0288963297820768,7.0
itransformer+patchtst+timemixer,3,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.25, 0.5, 0.25]}",-1,2340,0.012302899704033834,-0.1503851178748119,0.6798444953530505,-0.0010322761683999684,-0.03308422981393651,7.0
itransformer+timemixer+timesnet+wpmixer,4,mean,equal,-1,2340,0.012295491378022959,-0.9490826562597954,0.6671022188104109,0.0010713463711332612,-0.03129103713277498,7.0
patchtst+timemixer,2,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.6, 0.4]}",-1,2340,0.01229530551042256,-0.7977867899329791,0.6905279531853007,-0.0015587567797674985,-0.033668450304228895,9.0
patchtst+wpmixer,2,rank_mean,equal,-1,2340,0.012294052274706365,-0.8834108433022635,0.6888470274102123,-0.0012646857176151374,-0.03245130952516159,9.0
itransformer+timesnet+wpmixer,3,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.25, 0.25, 0.5]}",-1,2340,0.012291530615284253,-0.7737683151802075,0.6692319678002602,0.0007418117298509764,-0.03052724761439098,7.0
itransformer+timesnet,2,mean,equal,-1,2340,0.0122789882787789,-0.575773389992039,0.6747094620412012,0.003719974087110969,-0.0261691087026551,7.0
patchtst+timemixer+wpmixer,3,mean,equal,-1,2340,0.01226218073536626,-0.8873730515440816,0.6872115547941356,-0.0009983244490028322,-0.03385221177318952,9.0
patchtst+tsmixer,2,top1_gap_rank,selector,-1,2340,0.012247976428897706,-0.8308144324848764,0.6881138240881972,-0.00022229486968317134,-0.031241334522509868,8.0
dlinear+itransformer+patchtst+timemixer,4,mean,equal,-1,2340,0.012247039691473007,-0.9212530379201763,0.6657925544333098,-0.000303757434600237,-0.033020184173104636,7.0
itransformer+timemixer+wpmixer,3,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.25, 0.25, 0.5]}",-1,2340,0.012242756614979396,-0.500340701487543,0.6734104363670755,-0.0009134811582609466,-0.03301561353396153,8.0
itransformer+patchtst+timesnet,3,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.5, 0.25, 0.25]}",-1,2340,0.012241226434673383,-0.8549233853115892,0.6569381090859379,0.0011540682396494668,-0.029670146649185995,6.0
timemixer+timesnet+tsmixer,3,mean,equal,-1,2340,0.01222911362064327,-0.9740602563780801,0.6632534570998062,0.002068814587794956,-0.02879515120943409,8.0
dlinear+timemixer+timesnet,3,mean,equal,-1,2340,0.012224290593151969,-0.9660002781661704,0.6651912959332611,0.0018050790441914827,-0.029244726003738213,8.0
itransformer+timesnet+wpmixer,3,zscore_mean,equal,-1,2340,0.012217604541859946,-0.8725867975194762,0.6708562349046141,0.00223279651529457,-0.029432804936292165,7.0
patchtst+timesnet+tsmixer+wpmixer,4,zscore_mean,equal,-1,2340,0.012194208432800521,-0.6065918514200695,0.8370863958927384,0.004677880277786137,-0.023991822120656252,9.0
itransformer+timemixer,2,top1_gap,selector,-1,2340,0.012193384206910648,-0.9962569839811763,0.6194054146720888,-6.749351311248075e-05,-0.03186578238951569,7.0
dlinear+patchtst+timemixer+wpmixer,4,mean,equal,-1,2340,0.012189480574997334,-0.9136654201775565,0.6826584681857348,-0.000840932371058925,-0.033591141735761644,9.0
timemixer+timesnet+tsmixer+wpmixer,4,zscore_mean,equal,-1,2340,0.01218887035346052,-0.6556616610470901,0.8333339242281101,0.0042431906722000985,-0.025168428051925002,9.0
itransformer+patchtst+tsmixer+wpmixer,4,mean,equal,-1,2340,0.012186213763421867,-0.9539031402289687,0.6614157515799162,0.0004796500605466529,-0.031969631356698,8.0
itransformer+timesnet+wpmixer,3,mean,equal,-1,2340,0.012185185687180279,-0.879888276030076,0.6693283024979686,0.002268568046679684,-0.02932555675117064,6.0
patchtst+timemixer+wpmixer,3,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.5, 0.25, 0.25]}",-1,2340,0.012183662305169651,-0.9056091766655974,0.6828039639506608,-0.001436911772459589,-0.03337392979994498,9.0
patchtst+timemixer+tsmixer+wpmixer,4,zscore_mean,equal,-1,2340,0.012182395986089212,0.41201502750492036,0.8444043334782726,0.002088170526249814,-0.028185566133640174,10.0
patchtst+timemixer+timesnet+tsmixer,4,zscore_mean,equal,-1,2340,0.012181866062018099,-0.6380681169360692,0.8344026589671163,0.004158728600429353,-0.02523321290134431,9.0
patchtst+timemixer+wpmixer,3,zscore_mean,equal,-1,2340,0.012174940350067113,-0.907704454952936,0.6823582932925755,-0.0009675119313186444,-0.033815319045393484,9.0
dlinear+itransformer+patchtst+tsmixer,4,mean,equal,-1,2340,0.012172756121801048,-0.9445675277565977,0.6618464450663345,0.0009915275871100477,-0.030898483101375468,8.0
itransformer+timemixer+timesnet+wpmixer,4,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.2, 0.2, 0.2, 0.4]}",-1,2340,0.012166215527911951,-0.7998240366820076,0.6632069277528343,0.000177948686795797,-0.03174897505126879,7.0
patchtst+timemixer,2,top1_gap_rank,selector,-1,2340,0.012151635418213945,-0.8686295444708665,0.6826012354047161,-0.0005171785915534276,-0.031738425675834535,8.0
patchtst+timesnet,2,top1_gap_rank,selector,-1,2340,0.012151635418213945,-0.8686295444708665,0.6826012354047161,-0.0005171785915534276,-0.031738425675834535,8.0
patchtst+wpmixer,2,top1_gap_rank,selector,-1,2340,0.012151635418213945,-0.8686295444708665,0.6826012354047161,-0.0005171785915534276,-0.031738425675834535,8.0
itransformer+timesnet+wpmixer,3,weighted_rank,"{""dominant"": ""timesnet"", ""weights"": [0.25, 0.5, 0.25]}",-1,2340,0.012143414883250101,-0.4390560698972863,0.6689527151190245,0.0023606417859997914,-0.027339264648930627,7.0
dlinear+itransformer+patchtst+timesnet,4,mean,equal,-1,2340,0.01213967344965182,-0.9646275874802795,0.6590009302743935,0.0024203521897325736,-0.029089813598907267,7.0
itransformer+tsmixer+wpmixer,3,mean,equal,-1,2340,0.01212792909782673,-0.6004993721515035,0.6678788938644029,0.0008708543534181793,-0.031073940211675827,8.0
itransformer+patchtst+timesnet,3,zscore_mean,equal,-1,2340,0.012121945854706198,-0.9640535390198124,0.6583421705417252,0.0022224836367638694,-0.02948459717192687,7.0
itransformer+patchtst+timesnet,3,mean,equal,-1,2340,0.0121201476071111,-0.9663264463947193,0.6579490616223823,0.002264471142954102,-0.029331846989276572,7.0
itransformer+patchtst+timemixer+timesnet,4,mean,equal,-1,2340,0.012113092675511958,-0.9648560938969917,0.6573830058651244,0.0010317628145357508,-0.03138627795367283,7.0
patchtst+tsmixer,2,mean,equal,-1,2340,0.012109833147750854,-0.8802432530764336,0.6800005057866381,0.0003642760438426288,-0.030459030114159746,9.0
dlinear+itransformer,2,top1_gap,selector,-1,2340,0.01208485148254904,-0.47024287204413917,0.6680168050896647,0.001583800440089704,-0.027647402317342123,7.0
itransformer+wpmixer,2,mean,equal,-1,2340,0.012075441742805679,-0.8413636072546014,0.6644889024669591,0.00039115475055168266,-0.03168763054207193,7.0
itransformer+patchtst+wpmixer,3,rank_mean,equal,-1,2340,0.01205833132985771,-0.6606954395120522,0.6639248534269448,-0.0006692193093346564,-0.03229417169829506,7.0
itransformer+patchtst+timemixer+tsmixer,4,mean,equal,-1,2340,0.012049303478564538,-0.9619262435076328,0.654313263551388,-0.00014316910112178527,-0.032895424638584705,8.0
dlinear+patchtst+tsmixer,3,mean,equal,-1,2340,0.01204601982338393,-0.912952090400459,0.6760825583546087,0.0004334661622203043,-0.030087149330726242,9.0
itransformer+patchtst+timemixer+wpmixer,4,rank_mean,equal,-1,2340,0.01201947356574472,-0.4958204732042948,0.6649060726449214,-0.0009897412306484447,-0.03322076904751407,9.0
itransformer+patchtst+timemixer+tsmixer,4,zscore_mean,equal,-1,2340,0.01198075663024824,3.9928421330682955,0.847836586958758,0.0026184764749274812,-0.02757997257986632,9.0
