date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-03-08,2839,2838,SZ000889,0.07109005,0.005746640000000025,0.2862347,0.2862347,0.21514465,0.12832680666666665,0.14229482799999998,0.005195526244229611,0.00036303030483230916,7.951193615612302,0,0,0,2,2,4,3,3,5,3,3,6
2024-03-11,2836,2836,SZ000889,-0.022123894,0.003935099999999969,0.1713191,0.1713191,0.193442994,-0.0173270358,-0.031561613880000006,0.005047807881104565,0.00036382919025682654,7.950137114446529,0,0,0,0,1,1,0,1,1,0,2,3
2024-03-12,2834,2834,SZ000889,0.022624435,0.0008361000000000063,0.20571429,0.20571429,0.183089855,0.04633521466666666,0.016448577199999998,0.0047843506343565574,0.00036413200072167384,7.949432931756486,0,0,0,0,1,1,1,2,2,2,3,5
2024-03-13,2834,2831,SZ000889,-0.044247787,0.004819219999999902,0.21089631,0.21089631,0.255144097,-0.06853912899999999,-0.024082416199999995,0.00467275196703663,0.0003625290496754987,7.949433477580403,0,0,0,0,2,2,0,2,3,1,3,6
2024-03-14,2834,2834,SH603580,0.09840843,0.006437830000000089,0.20970266,0.20970266,0.11129423000000001,0.029826158333333335,0.056415654999999995,0.004127104285339371,0.00036220233956746415,7.9494358835312555,0,0,1,1,1,3,2,2,5,2,2,8
2024-03-15,2830,2830,SZ002076,-0.19512194,0.009336259999999985,0.19909503,0.19909503,0.39421697,0.014521642666666668,0.019896942600000002,0.0039437587500579675,0.0003645717241426258,7.948024192075289,0,0,0,2,2,3,2,2,3,2,2,6
2024-03-18,2823,2823,SZ000889,-0.071698114,0.0006251500000000743,0.20188679,0.20188679,0.273584904,0.005135328666666671,0.021758460000000004,0.0039716372278996315,0.00036297049012305857,7.945547525700302,0,0,0,1,2,2,1,3,3,1,5,5
2024-03-19,2827,2824,SZ000571,0.023809524,0.0003109700000000215,0.29847494,0.29847494,0.27466541600000005,0.06673622466666666,0.05793670959999999,0.0038910662422609135,0.00036116612015066666,7.946963770847054,0,0,0,0,0,1,3,3,4,5,6,8
2024-03-20,2823,2822,SZ000889,-0.08888889,0.0010523999999999534,0.2069853,0.2069853,0.29587419000000004,-0.12111297333333333,-0.08065734,0.004041113729679459,0.00036280414274376087,7.945547244192122,0,0,0,0,1,1,1,2,2,1,4,8
2024-03-21,2825,2824,SH603580,-0.031092964,0.00023249999999996884,0.21364985,0.21364985,0.244742814,0.027527031999999996,-0.0168270376,0.003933991423964496,0.00036110112194061007,7.9462558859508965,0,0,0,1,1,2,1,1,2,2,2,6
2024-03-22,2826,2825,SH603879,-0.054274086,0.00010715000000005581,0.44106463,0.44106463,0.495338716,-0.06466748433333333,-0.064171258,0.003689922242879627,0.00036112056427919947,7.946610739887705,0,0,0,0,1,1,0,1,1,2,4,6
2024-03-25,2822,2820,SH600083,-0.099910796,0.0010907599999999684,0.21518987,0.21518987,0.315100666,-0.021771094333333334,-0.0280989806,0.003778889347843856,0.0003640184523431847,7.945193973143198,0,0,0,0,1,2,0,1,3,1,3,7
2024-03-26,2819,2818,SZ002089,-0.40963855,0.012525600000000026,0.23243243,0.23243243,0.64207098,-0.059068706666666665,-0.0107426098,0.003811254852715739,0.0003673587542960751,7.944130212488008,0,0,0,2,3,3,2,3,3,3,6,9
2024-03-27,2808,2806,SZ002089,0.6938776,0.013290739999999968,0.6938776,0.6938776,0.0,0.27525671566666665,0.15233310719999998,0.0038795080710346415,0.000369623539072473,7.940220220381669,1,1,1,1,2,4,2,3,5,3,4,7
2024-03-28,2800,2798,SZ002089,-0.40963855,0.020709599999999995,0.18535826,0.18535826,0.59499681,-0.1676776166666667,-0.16359363600000001,0.003875376257985644,0.0003725907703186987,7.937367161164547,0,0,0,0,0,0,0,0,2,1,1,7
2024-03-29,2798,2798,SZ002089,-0.3469388,0.007616400000000079,0.2520661,0.2520661,0.5990049,-0.13721281233333332,-0.10416796039999998,0.0038560949272878147,0.0003687008510743896,7.936652703347276,0,0,0,0,0,0,0,1,2,1,3,8
2024-04-01,2805,2804,SZ002089,0.53125,0.015249940000000017,0.53125,0.53125,0.0,0.1405398416666667,0.1061109858,0.003722369199512903,0.00037035132204768474,7.939151870836403,1,1,1,2,3,4,3,4,5,4,6,11
2024-04-02,2810,2809,SZ002089,0.0,0.024784040000000007,0.20038168,0.20038168,0.20038168,-0.06106332,0.021589430000000003,0.003950614193050145,0.00037208349197868847,7.9409319288303895,0,0,0,3,3,3,3,4,4,4,5,9
2024-04-03,2809,2808,SZ002089,0.3469388,0.00907245000000001,0.40561622,0.40561622,0.058677420000000036,0.06315631999999999,0.017181726399999993,0.003842723988604912,0.0003679651762028138,7.940576417291169,1,1,1,1,1,1,1,2,3,1,2,3
2024-04-08,2814,2814,SZ002089,0.0,0.016422449999999977,0.17650513,0.17650513,0.17650513,0.025166249666666668,-0.0028542752,0.0038278120896959793,0.0003702080658223347,7.942354884744255,0,0,0,0,1,1,1,2,3,1,2,8
2024-04-09,2817,2817,SZ002089,0.5151515,0.02295440000000004,0.5151515,0.5151515,0.0,0.24724299766666666,0.11106383859999999,0.0038408640178055177,0.00037176008016539337,7.943420360409428,1,1,1,2,3,3,3,4,5,3,4,7
2024-04-10,2817,2817,SZ000889,-0.021186441,0.00021734000000006581,0.1908506,0.1908506,0.212037041,0.0003278896666666688,-0.014321555199999999,0.003635148293227873,0.00036247495106068805,7.94342114650809,0,0,0,0,0,2,0,0,3,0,1,6
2024-04-11,2814,2814,SH600198,-0.1502146,0.0012714400000000126,0.21860096,0.21860096,0.36881556000000004,-0.11956246999999999,-0.11052980000000001,0.00368846481483998,0.0003631479365558694,7.942355419197304,0,0,0,0,0,0,2,2,2,3,6,8
2024-04-12,2815,2815,SH600198,-0.08080808,0.0010603099999999532,0.17230347,0.17230347,0.25311154999999996,-0.142181238,-0.1545858628,0.003780626564750363,0.0003631442047991141,7.942710376583339,0,0,0,0,0,0,0,0,0,2,2,3
2024-04-15,2822,2822,SH600076,-0.22169812,0.0034618400000000493,0.17465957,0.17465957,0.39635769,-0.25183764999999997,-0.22311756099999996,0.003981809316335468,0.0003644726640768248,7.945193188237456,0,0,0,0,0,0,0,0,1,3,6,7
