date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-02-27,2841,2841,SH600076,-0.23333333,0.0034308699999999748,0.19969743,0.19969743,0.43303076,-0.27961126000000003,-0.23289799600000002,0.005191174526447529,0.00036112793646602586,7.951897896577266,0,0,0,0,1,1,1,2,2,2,3,4
2024-02-28,2842,2841,SH600076,0.26421404,0.0034680300000000663,0.33333334,0.33333334,0.0691193,0.16220375666666664,0.12832607799999998,0.005320008283305184,0.00036025413588806313,7.9522491549813665,1,1,1,1,1,4,2,2,8,3,3,13
2024-02-29,2842,2836,SH600076,-0.04232804,0.002143000000000006,0.1978852,0.1978852,0.24021324,-0.02866191,-0.035126827,0.004910439040425683,0.00035914456481781897,7.952251251132316,0,0,0,0,0,1,0,0,2,0,1,4
2024-03-01,2840,2838,SH600076,-0.11878453,0.0023215999999999237,0.23411816,0.23411816,0.35290268999999996,-0.07505796433333334,-0.0602286713,0.005045843902225281,0.0003595560458660847,7.951546599326548,0,0,0,0,0,0,0,0,0,0,0,2
2024-03-04,2841,2841,SH600076,-0.075235106,0.0011288999999999882,0.1887218,0.1887218,0.263956906,-0.038742544,-0.067699901,0.005143913003328708,0.00035866625178984434,7.951898151789434,0,0,0,0,0,0,0,0,0,2,3,3
2024-03-05,2841,2841,SZ000889,0.101604275,0.004017449999999978,0.25008303,0.25008303,0.148478755,0.04354779453333333,0.01847030652,0.005198023272869569,0.00035999628777450666,7.951897865013026,0,0,1,0,0,1,0,0,2,0,0,4
2024-03-06,2842,2842,SZ000889,-0.04368932,0.005882839999999945,0.15315789,0.15315789,0.19684721,-0.054125290333333326,-0.0337187708,0.0051556503023647915,0.0003607629494157124,7.952250011606015,0,0,0,0,0,0,0,0,1,2,3,8
2024-03-07,2839,2839,SZ000889,0.07106599,0.008130790000000054,0.1988773,0.1988773,0.12781131,0.04839469799999999,0.0381103476,0.0051706231478217315,0.00036205977071159266,7.9511937769733185,0,0,0,0,0,1,0,1,2,0,2,7
2024-03-08,2839,2838,SZ000889,0.07109005,0.006928040000000024,0.2862347,0.2862347,0.21514465,0.1260511,0.10012445368,0.004986624772121837,0.0003616988614433973,7.951194714386723,0,0,0,2,2,4,3,3,5,3,4,6
2024-03-11,2836,2836,SZ000889,-0.022123894,0.0076019499999999685,0.1713191,0.1713191,0.193442994,-0.03336825346666667,-0.052326670080000005,0.004856770722350904,0.0003612982602351165,7.95013809075591,0,0,0,0,1,1,0,1,1,0,2,3
2024-03-12,2834,2834,SZ000889,0.022624435,0.003892859999999998,0.20571429,0.20571429,0.183089855,0.057075279,0.016448577199999998,0.00478099912140628,0.0003616329243413912,7.9494329824021985,0,0,0,0,1,1,1,2,2,2,3,4
2024-03-13,2834,2831,SZ000889,-0.044247787,0.0037528000000000006,0.21089631,0.21089631,0.255144097,-0.005090623999999998,-0.012362692199999999,0.004925503792748575,0.0003607241305892697,7.949432285485388,0,0,0,0,2,2,0,2,4,2,4,7
2024-03-14,2834,2834,SH603580,0.09840843,0.0032051200000000613,0.20970266,0.20970266,0.11129423000000001,0.06909028900000001,0.053817413,0.004744382232299734,0.0003609168215397286,7.9494331570400085,0,0,1,1,1,3,2,2,4,2,3,8
2024-03-15,2830,2830,SZ002076,-0.19512194,0.005249659999999934,0.19909503,0.19909503,0.39421697,-0.06625858566666666,-0.026131213800000004,0.0046850916966355485,0.0003622813687657336,7.948021003582456,0,0,0,2,2,3,2,2,3,2,2,6
2024-03-18,2823,2823,SH603580,0.11739301,0.003756699999999946,0.20188679,0.20188679,0.08449378,0.00513532866666667,0.0343036248,0.004723922160957959,0.0003619218916491093,7.945544263680185,0,1,1,1,3,3,1,3,3,1,5,5
2024-03-19,2827,2824,SH603580,0.10154603,0.0009128999999999943,0.29847494,0.29847494,0.19692891,0.068064578,0.0800257388,0.004741885575295909,0.0003607375919386096,7.946960104361357,0,0,1,0,0,1,3,3,4,4,4,6
2024-03-20,2823,2822,SZ000889,-0.08888889,0.0013611999999999513,0.2069853,0.2069853,0.29587419000000004,-0.054705374333333334,-0.03548638080000001,0.00483663251069086,0.000361509261992498,7.945543720504816,0,0,0,0,1,1,0,1,2,1,5,8
2024-03-21,2825,2824,SH603580,-0.031092964,0.001643800000000084,0.21364985,0.21364985,0.244742814,-0.116783868,-0.047335508799999995,0.004815955727126436,0.00036131159963401823,7.9462520351599935,0,0,0,1,1,2,1,1,3,2,2,5
2024-03-22,2826,2825,SH603879,-0.054274086,0.0008917600000000192,0.44106463,0.44106463,0.495338716,-0.06347846,-0.05837481679999999,0.0045069626842544515,0.00036073438422478744,7.946607395320508,0,0,0,1,2,2,1,2,3,3,5,7
