date,code,pred,true
2019-04-02,SH600156,0.01627238,0.0021905806
2019-04-03,SH603315,0.0141490055,-0.026272578
2019-04-04,SH600615,0.015206174,-0.00734579
2019-04-08,SH600198,0.030783597,0.07097187
2019-04-09,SZ000670,0.031578735,0.020511951
2019-04-10,SH600595,0.032048587,0.008264463
2019-04-11,SZ002309,0.018513214,-0.021455731
2019-04-12,SZ002192,0.013561689,0.010745467
2019-04-15,SH600671,0.015838668,0.01141352
2019-04-16,SH600150,0.010887144,0.091032
2019-04-17,SH600128,0.013263514,0.098369
2019-04-18,SH600198,0.020844406,-0.13277805
2019-04-19,SH601519,0.019958915,0.046273403
2019-04-22,SH603032,0.015052568,0.0061335755
2019-04-23,SZ000707,0.029012613,-0.10110585
2019-04-24,SH600807,0.019579418,0.0022551545
2019-04-25,SZ300128,0.019669775,-0.083316065
2019-04-26,SZ300682,0.015477243,-0.01758794
2019-04-29,SZ000890,0.024006875,-0.0020718232
2019-04-30,SZ002243,0.01757351,-0.0024742268
2019-05-06,SH600198,0.018883675,0.056573704
2019-05-07,SH600595,0.027097061,-0.29032257
2019-05-08,SH600198,0.05931765,0.09169961
2019-05-09,SH600595,0.024494799,-0.48630136
2019-05-10,SZ000670,0.01887464,0.055338774
2019-05-13,SH600595,0.04393947,1.5714285
2019-05-14,SZ000677,0.02277803,0.035902504
2019-05-15,SH600595,0.15843433,-0.75706214
2019-05-16,SZ000159,0.058839787,-0.019283747
2019-05-17,SH600595,0.039530084,0.47058824
2019-05-20,SH600595,0.117627725,-0.85333335
2019-05-21,SH600595,0.21186596,0.7272727
2019-05-22,SH600595,0.05311967,0.42105263
2019-05-23,SZ000670,0.02922947,0.06900678
2019-05-24,SZ000058,0.017700007,-0.019880718
2019-05-27,SH600776,0.013417119,-0.012761021
2019-05-28,SH600198,0.0632148,-0.08991355
2019-05-29,SH603966,0.02261539,-0.0020134225
2019-05-30,SZ002119,0.089499034,-0.04635659
2019-05-31,SH600735,0.01659766,-0.03572492
2019-06-03,SH600198,0.029735465,-0.068544105
2019-06-04,SH600198,0.021982895,-0.076440394
2019-06-05,SH600734,0.019290278,0.009904372
2019-06-06,SZ300176,0.0162272,0.14736378
2019-06-10,SZ000670,0.020916691,0.2658228
2019-06-11,SH603977,0.015115818,0.11332008
2019-06-12,SZ002600,0.020302268,-0.043377224
2019-06-13,SZ002199,0.017365688,0.057986487
2019-06-14,SH600584,0.015603742,0.013372621
2019-06-17,SZ002547,0.020988977,-0.053514376
2019-06-18,SH600604,0.015829632,0.03615412
2019-06-19,SZ300176,0.022308178,0.10074494
2019-06-20,SZ002692,0.014230326,-0.024120603
2019-06-21,SH600127,0.017428938,-0.047284644
2019-06-24,SZ000815,0.015820596,0.038006455
2019-06-25,SZ000586,0.018368645,0.01235483
2019-06-26,SZ000589,0.02362738,5.227087e-11
2019-06-27,SZ300536,0.013968293,-0.030206215
