variant,year,model,dir,num_days,top1_mean_return,top1_cumulative_return,top1_sharpe,top3_mean_return,top5_mean_return,ic,rank_ic
stage2topheavy_topk,2023,TimesNet,long_term_forecast_market_2023_csattn_transformer_fp32_stage2topheavy_topk_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,241,0.000432666769484058,-0.03651314973831177,0.19984057747048659,0.000316367280902341,-1.3025423868384678e-05,8.134056993984618e-05,0.0038238281731003978
stage2topheavy_topk,2023,Transformer,long_term_forecast_market_2023_csattn_transformer_fp32_stage2topheavy_topk_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.010669202543795109,6.946925163269043,2.631328197166198,0.004789841827005148,0.0037701174151152372,0.019109323262833176,0.009390925042844287
stage2topheavy_topk,2023,WPMixer,long_term_forecast_market_2023_csattn_transformer_fp32_stage2topheavy_topk_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,-0.0028412160463631153,-0.7198755145072937,-0.8795626361827029,-0.0007905116654001176,-0.000375386473024264,-0.002101499203020138,0.00927234482425287
stage2topheavy_topk,2023,iTransformer,long_term_forecast_market_2023_csattn_transformer_fp32_stage2topheavy_topk_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,-0.0002990951470565051,-0.15053319931030273,-0.1698919733636067,0.00017462838150095195,0.00046909350203350186,-0.0008157767632789867,0.00206922126223707
stage2topheavy_topk,2024,PatchTST,long_term_forecast_market_2024_csattn_transformer_fp32_stage2topheavy_topk_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,-0.002138574607670307,-0.5926408767700195,-0.6311770520705959,0.0009075101697817445,0.0007543404353782535,0.002064911073180564,0.004912134356578403
stage2topheavy_topk,2024,TimeMixer,long_term_forecast_market_2024_csattn_transformer_fp32_stage2topheavy_topk_TimeMixer_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,241,-0.0008228282677009702,-0.556050181388855,-0.178083456152662,-0.002481177682057023,2.5839974114205688e-05,0.007643562870702924,0.0017329772230812472
stage2topheavy_topk,2024,TimesNet,long_term_forecast_market_2024_csattn_transformer_fp32_stage2topheavy_topk_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,241,9.45181236602366e-05,-0.27662354707717896,0.02803716523212016,0.0003100560570601374,0.0007619831594638526,0.016443441107381766,0.018460650026255625
stage2topheavy_topk,2024,Transformer,long_term_forecast_market_2024_csattn_transformer_fp32_stage2topheavy_topk_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.0027896107640117407,-0.7489835023880005,0.34422711260675265,0.014860867522656918,0.009852047078311443,0.023449950470686334,0.022141769350183787
stage2topheavy_topk,2024,WPMixer,long_term_forecast_market_2024_csattn_transformer_fp32_stage2topheavy_topk_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,-0.0009721178794279695,-0.3831988573074341,-0.3399264303943804,0.0008329354459419847,-0.001384308678098023,-0.0009509937215107585,0.004535213497843241
stage2topheavy_topk,2024,iTransformer,long_term_forecast_market_2024_csattn_transformer_fp32_stage2topheavy_topk_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,241,0.0031012329272925854,0.5712037086486816,0.9641718082554678,-0.0006195926107466221,-0.0012575057335197926,0.008194301520639468,0.014245927467499087
stage2topheavy_topk,2025,PatchTST,long_term_forecast_market_2025_csattn_transformer_fp32_stage2topheavy_topk_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,0.003956851549446583,1.2170648574829102,1.7054253237089463,0.0008431905880570412,0.0006091726245358586,-0.0014773496626541026,0.0045038244629129615
stage2topheavy_topk,2025,TimeMixer,long_term_forecast_market_2025_csattn_transformer_fp32_stage2topheavy_topk_TimeMixer_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,242,-0.0005020885146223009,-0.29595935344696045,-0.18374092303948117,0.00040863812319003046,-1.8997503502760082e-05,-0.0048153124558666886,-0.01482216896397724
stage2topheavy_topk,2025,TimesNet,long_term_forecast_market_2025_csattn_transformer_fp32_stage2topheavy_topk_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,242,-0.0019033591961488128,-0.5471134185791016,-0.5755891326799829,-0.0015516647836193442,-0.0006705076084472239,0.010430481261661313,0.014336966668148385
stage2topheavy_topk,2025,Transformer,long_term_forecast_market_2025_csattn_transformer_fp32_stage2topheavy_topk_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,-0.002581486012786627,-0.6859703063964844,-0.6167442485021892,-0.0022650696337223053,0.0012531267711892724,0.018697993922964097,0.01812064647310885
stage2topheavy_topk,2025,WPMixer,long_term_forecast_market_2025_csattn_transformer_fp32_stage2topheavy_topk_WPMixer_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,0.0026538092643022537,0.38659846782684326,0.8177632487468389,-0.0004642891581170261,-0.002043286105617881,-0.0006049481332250568,0.016690917767026983
stage2topheavy_topk,2025,iTransformer,long_term_forecast_market_2025_csattn_transformer_fp32_stage2topheavy_topk_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,0.00046471660607494414,-9.85264778137207e-05,0.23911257834115546,0.002208180259913206,0.0013906885869801044,0.004358830720446414,0.004943704707750252
