group,year,model,variant,annual_cum_return,top1_mean,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep,debias015_top1_mean,num_days
baseline_before,2022,TimeMixer,baseline_before,-0.7639513775993274,,-0.6189499316233965,,,-0.010770666713439682,-0.052273352324913584,16,61,,241
baseline_before,2022,TimesNet,baseline_before,0.06767293451864598,,0.6361206140026809,,,0.00876188340072406,-0.020787847568643138,26,82,,241
baseline_before,2022,WPMixer,baseline_before,-0.9359664750646071,,-1.620830380432451,,,-0.011384968668722874,-0.05329495037089703,15,68,,241
baseline_before,2022,iTransformer,baseline_before,-0.5609410341598892,,-0.12008547545002544,,,-0.006082773696117023,-0.045480404596313743,21,59,,241
transformer_old_mainline,2022,Transformer,transformer_headreg_lossstop_fullyear,0.8075928376833428,,1.1305076207090436,,,0.03699229836406124,0.04210592637261165,134,31,,241
transformer_old_mainline,2022,Transformer,transformer_stage2topheavy_lossstop_fullyear,-0.6035473511575156,,-0.9460385454106538,,,0.04302879041934552,0.051360363166876866,172,10,,241
transformer_old_mainline,2022,Transformer,transformer_stage2topheavy_topk_lossstop_fullyear,-0.38343143350350917,,0.1269953480946315,,,0.03473768283549531,0.03493657052610826,94,35,,241
baseline_before,2023,PatchTST,baseline_before,2.6709686545188855,,1.5849299373445003,,,-0.012392909047580034,-0.0606811487087299,16,88,,241
baseline_before,2023,TimeMixer,baseline_before,2.350265309915539,,1.5187156187124435,,,-0.012639308524069052,-0.06094618447218465,15,86,,241
baseline_before,2023,TimesNet,baseline_before,0.7582447289862269,,1.1109909033597645,,,0.0022082096698787974,-0.0318367364564642,17,151,,241
baseline_before,2023,WPMixer,baseline_before,3.9551770117186864,,1.8044865578241933,,,-0.012590802863177942,-0.06104631921273252,15,95,,241
baseline_before,2023,iTransformer,baseline_before,0.05736250682677824,,0.8588136659879648,,,-0.00903800736642184,-0.05509175524813264,18,90,,241
transformer_old_mainline,2023,Transformer,transformer_headreg_lossstop_fullyear,0.5395372606180435,,0.8903230549307185,,,0.025474811598003164,0.016498515494210452,110,22,,241
transformer_old_mainline,2023,Transformer,transformer_stage2topheavy_lossstop_fullyear,0.9596063961024777,,1.100648854543861,,,0.02876943165070589,0.019625046416556966,159,13,,241
transformer_old_mainline,2023,Transformer,transformer_stage2topheavy_topk_lossstop_fullyear,0.1793913720437319,,0.7669860133207942,,,0.019710536213785046,0.004244457250859666,93,51,,241
baseline_before,2024,PatchTST,baseline_before,7.679263402113913,,2.1201262224767015,,,0.009468396801097888,-0.047891379010656904,9,70,,241
baseline_before,2024,TimeMixer,baseline_before,2.94945730077176,,2.0261932499385864,,,0.010234254796196713,-0.04870599381102651,9,66,,241
baseline_before,2024,TimesNet,baseline_before,-0.7783697484249692,,1.73546081505278,,,0.02923565982799422,-0.017806425184877836,12,65,,241
baseline_before,2024,WPMixer,baseline_before,12.983341429035441,,2.1633279058786297,,,0.009912255940329719,-0.04889172379665332,8,77,,241
baseline_before,2024,iTransformer,baseline_before,7.8116907333940375,,2.137959824904926,,,0.019504209088681803,-0.03625931474338275,12,78,,241
transformer_old_mainline,2024,Transformer,transformer_headreg_lossstop_fullyear,-0.8079585993244501,,0.16795892014948707,,,0.04528486068339969,0.042521463608074864,118,18,,241
transformer_old_mainline,2024,Transformer,transformer_stage2topheavy_lossstop_fullyear,-0.7650976632083515,,0.1870613179427069,,,0.050560251917845044,0.056788840133647524,143,15,,241
transformer_old_mainline,2024,Transformer,transformer_stage2topheavy_topk_lossstop_fullyear,-0.82571061343631,,0.662014490965777,,,0.04633958316629337,0.04263680653367814,84,47,,241
