variant,year,model,dir,num_days,top1_mean_return,top1_cumulative_return,top1_sharpe,top3_mean_return,top3_cumulative_return,top3_sharpe,top5_mean_return,top5_cumulative_return,top5_sharpe,ic,rank_ic
baseline,2023,TimeMixer,long_term_forecast_market_2023_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,241,0.008778666146099567,2.3502628803253174,1.5187158209340803,0.002596962498500943,0.4532891511917114,0.8842121485215421,0.0018547793151810765,0.3404834270477295,0.8170884940300885,-0.012639308521249438,-0.06094618447218465
baseline,2023,TimesNet,long_term_forecast_market_2023_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,241,0.007356061600148678,0.7582458257675171,1.1109908968837963,0.003197007579728961,0.5487933158874512,0.9172943718373728,0.003227807115763426,0.8407678604125977,1.3274920362672247,0.0022082097091484314,-0.0318367364564642
baseline,2023,Transformer,long_term_forecast_market_2023_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,0.006591637618839741,0.05736231803894043,0.8588136715477468,0.005547850858420134,1.6491374969482422,1.522274776336372,0.0021666777320206165,0.3856300115585327,0.8246410427285134,-0.00903800733378317,-0.05509175524813264
baseline,2023,WPMixer,long_term_forecast_market_2023_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,0.010352129116654396,3.955176830291748,1.8044869392567915,0.003344504162669182,0.741823673248291,1.1417372614723673,0.0026271541137248278,0.613694429397583,1.155673828943912,-0.012590802864604886,-0.06104631921273252
baseline,2024,PatchTST,long_term_forecast_market_2024_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,0.07693006843328476,7.679266929626465,2.1201263593298467,0.03361033275723457,64.62267303466797,2.407099805020365,0.022367266938090324,25.864498138427734,2.361610327966583,0.009468396909310374,-0.047891379010656904
baseline,2024,TimeMixer,long_term_forecast_market_2024_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,241,0.07353617250919342,2.9494616985321045,2.026193472552713,0.03156868740916252,35.27798080444336,2.2411554032630323,0.022653860971331596,25.3456974029541,2.3521907098447326,0.01023425459161639,-0.04870599381102651
baseline,2024,TimesNet,long_term_forecast_market_2024_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,241,0.059848979115486145,-0.7783696055412292,1.7354606650624123,0.03577335923910141,93.61438751220703,2.529043580461127,0.024647237733006477,39.842403411865234,2.539188024169156,0.029235659963313124,-0.017806425184877836
baseline,2024,Transformer,long_term_forecast_market_2024_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,0.07792508602142334,7.81169319152832,2.1379598350484317,0.03345050662755966,52.77470016479492,2.369863188851229,0.021153416484594345,17.427751541137695,2.2034832148149666,0.019504209262380584,-0.03625931474338275
baseline,2024,WPMixer,long_term_forecast_market_2024_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,241,0.0784076377749443,12.98333740234375,2.1633278872074038,0.03233034908771515,43.46607208251953,2.3014946553319193,0.021734384819865227,21.12421989440918,2.273613870545204,0.00991225606933639,-0.04889172379665332
csrank_topq,2021,PatchTST,long_term_forecast_market_2021_csrank_topq_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_csrank_topq_v1_0,242,0.004208816215395927,0.8972197771072388,1.174660937380155,0.0026426189579069614,0.6458004713058472,1.2213673828200817,0.000719250354450196,0.07893908023834229,0.4000624576219046,0.00285020987388451,-0.01055768557888614
csrank_topq,2021,TimesNet,long_term_forecast_market_2021_csrank_topq_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_csrank_topq_v1_0,242,0.009039154276251793,3.9754247665405273,2.051713577270187,0.005685650743544102,1.9936811923980713,1.8793108267521645,0.004845902789384127,1.7327077388763428,2.0871214682883408,0.021294998034268372,0.013466529311104342
csrank_topq,2021,Transformer,long_term_forecast_market_2021_csrank_topq_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_csrank_topq_v1_0,242,0.03989948704838753,1.645467758178711,1.871052681488207,0.019654281437397003,18.867694854736328,2.2875844715567406,0.011474158614873886,5.937839984893799,2.03978440642541,0.025311751723394543,-0.002186722518277269
csrank_topq,2021,Transformer,long_term_forecast_market_2021_csrank_topq_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_csrank_topq_v1_0,242,0.0008372883894480765,-0.1270553469657898,0.2482173351482936,0.00010478078183950856,-0.10456663370132446,0.0495177956678002,0.0012357488740235567,0.2144484519958496,0.6643852819160376,0.003962478701461383,-0.011907282288102916
stage2topheavy_topk,2021,PatchTST,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_PatchTST_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,0.0020081414841115475,0.4751107692718506,1.1185700122178739,0.0019454497378319502,0.5342214107513428,1.647781696854065,0.0010605978313833475,0.256508469581604,1.1025331168439236,0.012344441765296203,0.016456403643971898
stage2topheavy_topk,2021,TimeMixer,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_TimeMixer_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,242,0.0057086157612502575,2.4476587772369385,2.61464731492019,0.002008692128583789,0.5531265735626221,1.6377844366792897,0.0018888362683355808,0.5281367301940918,1.8212949779370144,0.003937710414326008,0.005235492246561412
stage2topheavy_topk,2021,TimesNet,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_TimesNet_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_backbone_stage2topheavy_topk_0,242,0.008861048147082329,5.143938064575195,2.6769200793597756,0.004545027855783701,1.7580657005310059,2.734073737782103,0.0030609779059886932,0.9914392232894897,2.3644457854496594,0.012627358971502477,0.014494526720695218
stage2topheavy_topk,2021,Transformer,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,-0.0025511388666927814,-0.8376309871673584,-0.5005865959444012,0.0013600076781585813,0.028182387351989746,0.42961325515635307,0.0024721301160752773,0.4701272249221802,0.912042131799407,0.019312305212050112,0.014003453762292256
stage2topheavy_topk,2021,Transformer,long_term_forecast_market_2021_csattn_transformer_fp32_stage2topheavy_topk_iTransformer_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_backbone_stage2topheavy_topk_0,242,0.0003946557699237019,-0.04157209396362305,0.18505611012281606,0.0018785950960591435,0.4896312952041626,1.3836943488410702,0.002739813644438982,0.8692498207092285,2.4920458444932767,0.00045717314579771576,0.0006471173639480104
