strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
wpmixer+timemixer::combo::mean,wpmixer+timemixer,2,combo,mean,base,2340,0.010458984656588788,-0.9924614593651007,0.5950296388772935,0.009967414158311386,-0.9976013809019284,0.5672347988579092,544,1795,1.8632478632478633,3.0277777777777777
wpmixer+timemixer+timesnet::combo::rank_mean,wpmixer+timemixer+timesnet,3,combo,rank_mean,base,2340,0.010733818913942535,-0.9971000444829858,0.5858207332910551,0.009934891731932908,-0.9995445328863987,0.5426991396561982,880,1459,3.011965811965812,4.894444444444445
itransformer+patchtst+timesnet::combo::rank_mean,itransformer+patchtst+timesnet,3,combo,rank_mean,base,2340,0.010679313192734342,-0.9822936768653906,0.5883547600913196,0.00987031331342263,-0.9972825829128931,0.5442740516649315,891,1448,3.0495726495726494,4.955555555555556
itransformer+wpmixer+timemixer+timesnet::combo::rank_mean,itransformer+wpmixer+timemixer+timesnet,4,combo,rank_mean,base,2340,0.010642097774804637,-0.978423292259517,0.5878926661345124,0.00986376206632437,-0.9964508331843275,0.5453739632081009,858,1481,2.9367521367521365,4.772222222222222
wpmixer+timemixer::combo::rank_mean,wpmixer+timemixer,2,combo,rank_mean,base,2340,0.010393375537074444,-0.9889469489923982,0.5943635682600865,0.00981700442927197,-0.9971195102819134,0.561560423032271,639,1700,2.1880341880341883,3.5555555555555554
itransformer+wpmixer+timemixer+dlinear_a01::combo::zscore_mean,itransformer+wpmixer+timemixer+dlinear_a01,4,combo,zscore_mean,base,2340,0.011214100028286328,-0.9887615597572541,0.6127303919472898,0.00979211264420245,-0.9995867459468747,0.5356384375686811,1571,768,5.374358974358974,8.733333333333333
itransformer+timemixer+timesnet+dlinear_a01::combo::mean,itransformer+timemixer+timesnet+dlinear_a01,4,combo,mean,base,2340,0.01080183593559402,-0.9902102161703137,0.5957736255712923,0.009789251658614216,-0.9990674805509573,0.5405192683906989,1118,1221,3.825641025641026,6.216666666666667
itransformer+wpmixer+timesnet+dlinear_a01::combo::mean,itransformer+wpmixer+timesnet+dlinear_a01,4,combo,mean,base,2340,0.010815385842568376,-0.9911355636452545,0.5960483948453268,0.00977586357306207,-0.9992072063193675,0.5393513005100271,1148,1191,3.928205128205128,6.383333333333334
patchtst+wpmixer+timemixer+timesnet::combo::rank_mean,patchtst+wpmixer+timemixer+timesnet,4,combo,rank_mean,base,2340,0.010440824340332736,-0.9990827617669652,0.568706609269227,0.009748146104550874,-0.99981847954941,0.5310067190522448,770,1569,2.635897435897436,4.283333333333333
patchtst+wpmixer+timesnet+dlinear_a01::combo::zscore_mean,patchtst+wpmixer+timesnet+dlinear_a01,4,combo,zscore_mean,base,2340,0.011129745351991453,-0.9909151623572021,0.6083872122153202,0.009746032840875673,-0.9996351164444027,0.5333477445616758,1529,810,5.230769230769231,8.5
