date,code,pred,true,selected_source,gated_active_selector,confidence_edge
2015-09-23,SH600727,0.24760759,-0.14535078,right,False,0.01138334000000002
2015-09-24,SZ002506,0.31489882,-0.05829528,left,True,0.043702550000000034
2015-09-25,SZ002506,0.38075715,0.038629383,left,True,0.12963771000000002
2015-09-28,SZ002506,0.2885156,0.17584811,left,True,0.02078263999999999
2015-09-29,SH600727,0.24788713,0.005197505,right,False,0.0064248099999999475
2015-09-30,SH600727,0.25608683,0.019303689,right,False,-0.009490899999999997
2015-10-08,SH600727,0.2547853,0.086574234,right,False,-0.015377009999999969
2015-10-09,SZ002506,0.33608344,0.07169203,left,True,0.060505910000000024
2015-10-12,SH600727,0.2502315,-0.043908473,right,True,-0.024910689999999985
2015-10-13,SZ002506,0.27316222,0.08543912,right,True,-0.03478223
2015-10-14,SZ002506,0.24559148,0.033536833,right,False,0.0031957699999999867
2015-10-15,SH600727,0.23337473,-0.014534884,right,False,0.010922920000000003
2015-10-16,SH600727,0.24768957,0.03362832,right,False,0.008224570000000014
2015-10-19,SH600727,0.24123207,-0.14383562,right,False,-0.00894897
2015-10-20,SH600727,0.23022313,0.08033333,right,False,-0.012750209999999984
2015-10-21,SH600727,0.21848212,0.07682814,right,False,-0.009649729999999995
2015-10-22,SH600727,0.2172354,-0.006017192,right,False,-0.010254999999999986
2015-10-23,SZ002506,0.2408291,-0.13570134,right,True,-0.01959859
2015-10-26,SZ002506,0.23128419,0.00610534,right,True,-0.021655810000000025
2015-10-27,SZ002506,0.24358231,0.096186936,right,True,-0.022142620000000002
2015-10-28,SZ002506,0.23896816,-0.07113939,right,True,-0.019902560000000014
2015-10-29,SH600868,0.20544498,-0.058467504,right,False,0.004692719999999984
2015-10-30,SZ002506,0.23349603,-0.053614948,right,False,-0.01723438999999999
2015-11-02,SZ002506,0.20921297,0.032904148,right,False,-0.008884470000000005
2015-11-03,SZ002506,0.22395878,-0.021237304,right,True,-0.027512619999999988
2015-11-04,SZ002506,0.25217324,-0.004528302,right,True,-0.045752170000000036
2015-11-05,SZ002506,0.2809067,0.13068612,right,True,-0.07853268000000002
2015-11-06,SZ002506,0.27801138,0.13318247,right,True,-0.08647252
2015-11-09,SZ002506,0.25622866,0.1260355,right,True,-0.06725877
2015-11-10,SZ002506,0.26309997,-0.099316865,right,True,-0.07001943000000002
2015-11-11,SZ002506,0.2754605,-0.07825263,right,True,-0.06609955
2015-11-12,SZ002506,0.29395348,0.07199936,right,True,-0.09786249000000002
2015-11-13,SZ002506,0.29406783,-0.027603513,right,True,-0.11467563999999997
2015-11-16,SZ002506,0.27726567,-0.041366223,right,True,-0.09203081999999999
2015-11-17,SZ002506,0.3067116,0.14323041,right,True,-0.12655019999999997
2015-11-18,SZ002506,0.29140216,-0.07555925,right,True,-0.09793153000000002
2015-11-19,SZ002506,0.27100685,-0.010038957,right,True,-0.07532965
2015-11-20,SZ002506,0.3458127,0.01884365,right,True,-0.14905582999999997
2015-11-23,SZ002506,0.33701685,0.030528113,right,True,-0.14499664999999998
2015-11-24,SZ002506,0.30316696,-0.019316707,right,True,-0.11990444999999997
2015-11-25,SZ002506,0.2794477,-2.0224235e-12,right,True,-0.10985483000000004
2015-11-26,SZ002506,0.26841328,-0.039394386,right,True,-0.10120267999999999
2015-11-27,SZ002506,0.292596,-0.013159908,right,True,-0.12316860000000004
2015-11-30,SZ002506,0.32518926,-0.014886028,right,True,-0.14651435999999998
2015-12-01,SZ002506,0.28237027,0.033212654,right,True,-0.0979321
2015-12-02,SZ002506,0.30940595,-0.021176113,right,True,-0.12660273
2015-12-03,SZ002506,0.3044484,-0.02607004,right,True,-0.11611175000000001
2015-12-04,SZ002506,0.30222404,-0.040591292,right,True,-0.11958237000000002
2015-12-07,SZ002506,0.28605244,-0.029482802,right,True,-0.10567856
2015-12-08,SZ002506,0.25774848,0.024628852,right,True,-0.09051691
2015-12-09,SZ002506,0.24103878,-0.060887773,right,True,-0.07873619999999998
2015-12-10,SZ002506,0.22688046,0.04780166,right,True,-0.049860299999999996
2015-12-11,SZ002506,0.22437176,-0.0008511362,right,True,-0.03693896000000002
2015-12-14,SZ002506,0.24328953,0.0074111936,right,True,-0.07655535000000002
2015-12-15,SZ002506,0.2729157,0.012937595,right,True,-0.09392168000000001
2015-12-16,SZ002506,0.27201906,-0.025628183,right,True,-0.10440750999999998
2015-12-17,SZ002506,0.2269274,-0.0023989032,right,True,-0.06248596000000001
2015-12-18,SH600052,0.14867052,-0.013612301,right,False,0.0019125099999999784
2015-12-21,SH600052,0.15290764,0.016611295,right,False,-0.0071643600000000085
2015-12-22,SH600052,0.15421085,-0.028909,right,False,-0.005407560000000006
2015-12-23,SH600052,0.15478846,0.0072482526,right,False,-0.006861449999999991
2015-12-24,SH600052,0.15183312,-0.06630686,right,False,-0.0031041900000000067
2015-12-25,SH600052,0.14257072,0.01376273,right,False,0.012720249999999989
2015-12-28,SH600052,0.1416945,-0.013575889,right,False,0.0077379499999999934
2015-12-29,SH600052,0.13778819,-0.010459675,right,False,0.00021298999999999624
2015-12-30,SH600052,0.1356528,-0.19193324,right,False,-0.0007899199999999718
2016-01-04,SH600052,0.14077288,0.0073504844,right,False,0.014195369999999985
2016-01-05,SH600734,0.18651357,-0.13288505,left,True,0.020573229999999998
2016-01-06,SH600727,0.14020444,-0.10009911,right,False,0.007258020000000004
2016-01-07,SH600734,0.17535083,-0.0798944,left,True,0.02942661000000002
2016-01-08,SH600734,0.17535774,-0.040471155,left,True,0.017750939999999993
2016-01-11,SZ300222,0.15497082,-0.11426531,right,False,0.003524620000000006
2016-01-12,SZ300222,0.1521483,0.09927434,right,False,0.007876600000000011
