score_name,state_column,threshold,bad_side,fallback,fallback_top_k,mean_of_year_means,median_of_year_means,mean_sharpe,negative_years,positive_years,worst_year_mean,best_year_mean,avg_gated_off_rate,year_2025_mean,year_2024_mean
style_neutral,market_cc_std,0.0241618756901682,high,cash,3,0.0027709422945074377,0.002956109652153239,0.920876662405749,3,5,-0.006308760459090913,0.009005533900909092,0.4002383337828034,-0.006308760459090913,0.00037247032323651597
style_neutral,market_amplitude_mean,3.2558820921857476,high,cash,3,0.0016405593196799398,0.0018234287232416387,0.6621293062513519,3,5,-0.008116588702892568,0.010191557353512397,0.4999933320378435,-0.008116588702892568,0.0005189178477178434
baseline,market_cc_mean,0.003527426213847233,high,cash,3,0.003954308006730177,0.002454665306115187,0.33486599446862386,3,5,-0.008444754210495863,0.015286051184297517,0.4001873538604961,-0.008444754210495863,0.015103039368049796
style_neutral,market_amplitude_mean,3.427573082844458,high,cash,3,0.002498717162349133,0.0014775725089860511,0.8243650726612128,3,5,-0.008798372537603311,0.01475474287747934,0.40023007821060963,-0.008798372537603311,0.0008323125336099593
style_neutral,market_cc_mean,0.003527426213847233,high,cash,3,0.00038673499674809586,0.00238240166446221,0.3068826967879108,3,5,-0.010097344480578516,0.010254590160330576,0.4001873538604961,-0.010097344480578516,-0.0024275128356846445
style_neutral,none,,none,plain_top1,1,0.00510621179402729,0.00712768443887552,1.1117329699429372,3,5,-0.010750182715289259,0.020598275823264466,0.0,-0.010750182715289259,-0.002631996599999996
baseline,market_amplitude_mean,3.2558820921857476,high,cash,3,0.0030748976462026336,0.0054932643046281,0.4683554577119964,3,5,-0.01423866177950413,0.014624201909876542,0.4999933320378435,-0.01423866177950413,-0.001667920885062239
baseline,market_cc_mean,-0.0013616080299575506,high,cash,3,0.0017210714549444179,-0.00012953513910062526,0.09771102731234212,4,4,-0.005489419696280991,0.009194113205785124,0.5997549188745384,-0.003500699565702475,0.009130929668049794
baseline,market_cc_std,0.022052693419258328,high,cash,3,0.0010922707668556673,-0.00017590655117279968,0.002714862154532871,4,4,-0.006464958361735535,0.012482446864609056,0.5998419640048585,-0.006464958361735535,-0.004160887532365143
baseline,market_amount_top10_share,0.7429131119272752,high,cash,3,0.0006677502720110763,0.0009195653702153546,0.14636331712634706,4,4,-0.008902922313801652,0.006130627082987551,0.5995363049724087,-0.008902922313801652,0.006130627082987551
style_neutral,market_cc_mean,0.001191053737985551,high,cash,3,-0.0006203938402080334,0.0006374665384161806,0.06935048087833334,4,4,-0.009076959321487603,0.006246898317355371,0.4999658046438087,-0.009076959321487603,-0.0026133357414937736
baseline,market_amplitude_mean,3.095808213553826,high,cash,3,0.0006391445166894568,0.001211911811408217,0.062059772508499034,4,4,-0.009950277924132228,0.009863743189711933,0.5997993984157486,-0.009950277924132228,-0.0071479411215767605
style_neutral,market_amount_top10_share,0.7593413726342011,high,cash,3,-0.000738237815434515,0.0011236130630394867,0.06059591118267135,4,4,-0.010850498764876034,0.007721830893099175,0.3999876766180886,-0.010850498764876034,-0.00921475210124481
style_neutral,market_amount_top10_share,0.7429131119272752,high,cash,3,-0.001671818296461193,-0.0021954758557851234,-0.24451168177005939,5,3,-0.007636337330991738,0.006214095941446283,0.5995363049724087,-0.007636337330991738,-0.007352109234024893
style_neutral,market_amount_top10_share,0.7508349180308138,high,cash,3,-0.0016212209370487674,-0.0009994695678104573,-0.1623744898596357,5,3,-0.010326957603319501,0.004896968760580913,0.499747014340564,-0.009315512930165292,-0.010326957603319501
