strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
patchtst+timesnet::combo::mean,patchtst+timesnet,2,combo,mean,base,2340,0.011553242733081859,-0.9983112449817301,0.6207867971712224,0.010803392468765301,-0.9997072337535059,0.5805392969708609,833,1506,2.8512820512820514,4.633333333333334
wpmixer+timemixer::gated::gated_q50_right,wpmixer+timemixer,2,gated,gated_q50_right,base,2340,0.011463685551525363,-0.9991678822476501,0.583632747914772,0.01090486412787095,-0.9997747865165044,0.555298292112646,621,1718,2.1264957264957265,3.4555555555555557
"itransformer+timesnet::weighted_rank::{""dominant"": ""timesnet"", ""weights"": [0.4, 0.6]}",itransformer+timesnet,2,weighted_rank,"{""dominant"": ""timesnet"", ""weights"": [0.4, 0.6]}",base,2340,0.011457059039153032,-0.9066918395904761,0.6316094102815697,0.010461493630247681,-0.9907305296694039,0.5772433495910104,1098,1241,3.7572649572649572,6.105555555555555
"wpmixer+timemixer::weighted_rank::{""dominant"": ""wpmixer"", ""weights"": [0.6, 0.4]}",wpmixer+timemixer,2,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.6, 0.4]}",base,2340,0.011410688068700424,-0.8865740262029408,0.651954157770114,0.010801959341245596,-0.9724206926557771,0.6173755833899042,672,1667,2.3008547008547007,3.738888888888889
patchtst+wpmixer::gated::gated_q50_right,patchtst+wpmixer,2,gated,gated_q50_right,base,2340,0.011408225650109833,-0.9775966160909199,0.6392886843464942,0.010816755538090882,-0.9943426909413897,0.6063580948207012,654,1685,2.2393162393162394,3.638888888888889
patchtst+wpmixer::combo::mean,patchtst+wpmixer,2,combo,mean,base,2340,0.011383493006941496,-0.9827104905474623,0.638707525817032,0.01096585746413979,-0.9934092656407788,0.6154890141116319,458,1881,1.5692307692307692,2.55
patchtst+timemixer::combo::rank_mean,patchtst+timemixer,2,combo,rank_mean,base,2340,0.011368700017777096,-0.9600303573656587,0.6423476202946903,0.010876032537819234,-0.9872824260279248,0.6146933286038837,544,1795,1.8632478632478633,3.0277777777777777
itransformer,itransformer,1,single,itransformer,base,2340,0.011220635398329834,-0.9226797274673071,0.6204627284666512,0.010256950034489336,-0.9917845858861252,0.5676622429523912,1066,1273,3.647863247863248,5.927777777777778
patchtst+timesnet::combo::zscore_mean,patchtst+timesnet,2,combo,zscore_mean,base,2340,0.011165574028741156,-0.9992306517801202,0.600477628781251,0.010430861536337358,-0.9998620639765629,0.5610029757423658,817,1522,2.7965811965811964,4.544444444444444
patchtst+wpmixer::selector::top1_gap,patchtst+wpmixer,2,selector,top1_gap,base,2340,0.011112729776964926,-0.9855537448055136,0.6248982146253278,0.010589060194968303,-0.995720397349693,0.5956456159294944,578,1761,1.9794871794871796,3.216666666666667
timemixer,timemixer,1,single,timemixer,base,2340,0.011094772696924597,-0.9996244384187944,0.565074273413344,0.010566002549075915,-0.9998905970264551,0.5382647806938557,586,1753,2.006837606837607,3.261111111111111
wpmixer+timemixer::combo::mean,wpmixer+timemixer,2,combo,mean,base,2340,0.010458984656588788,-0.9924614593651007,0.5950296388772935,0.009967414158311386,-0.9976013809019284,0.5672347988579092,544,1795,1.8632478632478633,3.0277777777777777
patchtst+dlinear_a01::gated::gated_q50_right,patchtst+dlinear_a01,2,gated,gated_q50_right,base,2340,0.010403939741042735,-0.5955440929665554,0.6464319763037936,0.008997099142132151,-0.9844566264795358,0.560079743376028,1550,789,5.302564102564102,8.616666666666667
wpmixer+timemixer::combo::rank_mean,wpmixer+timemixer,2,combo,rank_mean,base,2340,0.010393375537074444,-0.9889469489923982,0.5943635682600865,0.00981700442927197,-0.9971195102819134,0.561560423032271,639,1700,2.1880341880341883,3.5555555555555554
wpmixer+timemixer::gated::gated_q50_left,wpmixer+timemixer,2,gated,gated_q50_left,base,2340,0.010297244641840451,-0.9979918650775047,0.5794311105455219,0.009681962876514917,-0.9995238832834943,0.5449755788419559,684,1655,2.341880341880342,3.8055555555555554
itransformer+timemixer::combo::rank_mean,itransformer+timemixer,2,combo,rank_mean,base,2340,0.01018556236670865,-0.9872089586584554,0.5654106767489688,0.009431582036389857,-0.9977825172261214,0.5240024667080644,833,1506,2.8512820512820514,4.633333333333334
"itransformer+timemixer::weighted_rank::{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",itransformer+timemixer,2,weighted_rank,"{""dominant"": ""itransformer"", ""weights"": [0.6, 0.4]}",base,2340,0.010044332034926823,-0.9798688836078222,0.5600626924760862,0.00925011191096208,-0.9968248913006221,0.5162202158405574,878,1461,3.005128205128205,4.883333333333334
timemixer+timesnet::combo::rank_mean,timemixer+timesnet,2,combo,rank_mean,base,2340,0.010026537844301962,-0.9980048435316419,0.5535697465626083,0.009156895708423556,-0.9997345680526913,0.5060077401791739,959,1380,3.282051282051282,5.333333333333333
itransformer+timemixer::combo::zscore_mean,itransformer+timemixer,2,combo,zscore_mean,base,2340,0.009850585351542695,-0.9987730699063117,0.5431428366675911,0.009148961391951881,-0.9997627394906708,0.5044674047375458,781,1558,2.6735042735042733,4.344444444444444
itransformer+timemixer::combo::mean,itransformer+timemixer,2,combo,mean,base,2340,0.009828030089771114,-0.9990656429204636,0.5412273935691544,0.009133690414333291,-0.9998162536511394,0.5030013284068034,773,1566,2.646153846153846,4.3
timemixer+timesnet::gated::gated_q50_right,timemixer+timesnet,2,gated,gated_q50_right,base,2340,0.009820669292579085,-0.9820967285172689,0.6954140485463323,0.008796018655246603,-0.9983579296931856,0.6231954865729716,1136,1203,3.887179487179487,6.316666666666666
wpmixer+dlinear_a01::selector::top1_gap,wpmixer+dlinear_a01,2,selector,top1_gap,base,2340,0.009520353088089744,-0.9739970792486131,0.5944189764174589,0.00847117269140033,-0.9977323245999031,0.5295418263897497,1160,1179,3.9692307692307693,6.45
patchtst+timesnet::gated::gated_q50_right,patchtst+timesnet,2,gated,gated_q50_right,base,2340,0.009473861676059687,-0.9917325944370573,0.6713620003976766,0.008466735040753265,-0.99920751397348,0.6003444662125654,1115,1224,3.8153846153846156,6.2
wpmixer+timemixer::selector::top1_gap,wpmixer+timemixer,2,selector,top1_gap,base,2340,0.009358534669138677,-0.9994292337292036,0.5326566397437746,0.00877450165417627,-0.9998546534647597,0.49955358317760035,650,1689,2.2256410256410257,3.6166666666666667
"itransformer+timemixer::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",itransformer+timemixer,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",base,2340,0.009321938429046519,-0.9984332030153319,0.5171457277977153,0.008619359533736286,-0.9996982874904996,0.478173264308431,783,1556,2.68034188034188,4.355555555555555
timemixer+dlinear_a01::gated::gated_q50_right,timemixer+dlinear_a01,2,gated,gated_q50_right,base,2340,0.009198157947410258,-0.946005314085176,0.5793231083254274,0.00775766806968347,-0.9980842043649445,0.48954686608321557,1588,751,5.432478632478633,8.827777777777778
timesnet+dlinear_a01::gated::gated_q50_right,timesnet+dlinear_a01,2,gated,gated_q50_right,base,2340,0.00912203852861111,1.378251329981325,0.7813787397695946,0.00747829036112214,-0.9479554552198899,0.6411916468686908,1818,521,6.218803418803419,10.105555555555556
"timemixer+timesnet::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.6, 0.4]}",timemixer+timesnet,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.6, 0.4]}",base,2340,0.009110053582051187,-0.9998042978772754,0.5024199170619692,0.00827660004875893,-0.9999716813360824,0.45686480666030593,919,1420,3.1452991452991452,5.111111111111111
timemixer+dlinear_a01::selector::top1_gap,timemixer+dlinear_a01,2,selector,top1_gap,base,2340,0.00904465942977778,-0.9997318509716676,0.4992858535828376,0.008071907851340515,-0.9999721596597362,0.44606725092148386,1077,1262,3.6854700854700853,5.988888888888889
wpmixer+timesnet::gated::gated_q50_right,wpmixer+timesnet,2,gated,gated_q50_right,base,2340,0.00898530913512179,-0.9968332388812573,0.6377481358607088,0.007908949357277713,-0.9997423318475277,0.5616751905656487,1193,1146,4.082051282051282,6.633333333333334
wpmixer+dlinear_a01::gated::gated_q50_left,wpmixer+dlinear_a01,2,gated,gated_q50_left,base,2340,0.008964146056371794,-0.9866225353177989,0.5632496535515616,0.008003414994687376,-0.9985696330361203,0.5034786062226613,1063,1276,3.6376068376068376,5.911111111111111
